id,synergyId,tierIndex,effectOrder,effectType,parameters
int,string,int,int,string,string
1,Brand,0,0,Brand,damagePerMember=1
2,Brand,1,0,Brand,damagePerMember=2
3,Bulk,0,0,Stat,bonusHp=3
4,Bulk,1,0,Stat,bonusHp=6
5,Caretaker,0,0,Caretaker,amount=1
6,Caretaker,1,0,Caretaker,amount=2
7,Flow,0,0,Flow,amount=1
8,Flow,1,0,Flow,amount=2
10,Legacy,0,0,Legacy,amount=1
11,Legacy,1,0,Legacy,amount=2
12,Predator,0,0,Predator,lifestealPercent=50
13,Predator,1,0,Predator,lifestealPercent=75
14,Scale,0,0,Stat,dmgReduction=1
15,Scale,1,0,Stat,dmgReduction=2
16,Trace,0,0,Trace,grantMarkOnAttack=1
17,Trace,1,0,Trace,grantMarkOnAttack=1;bonusHpOnMarkedKill=2
